Execution times in seconds 
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0


 Best makespans 
76600.0 47817.0
54581.0 56471.0
98231.0 41094.0
47979.0 56621.0
59966.0 62777.0
81448.0 43045.0
61666.0 50458.0
114718.0 38369.0
98298.0 41453.0
99427.0 41684.0


 Execution Performance 
76600.0 47817.0

54581.0 56471.0

98231.0 41094.0

47979.0 56621.0

59966.0 62777.0

81448.0 43045.0

61666.0 50458.0

114718.0 38369.0

98298.0 41453.0

99427.0 41684.0


