Execution times in seconds 
0.057
0.003
0.003
0.003
0.003
0.003
0.017
0.003
0.005
0.004


 Best makespans 
63727.0 41421.0
62387.0 44146.0
59850.0 43542.0
63741.0 41421.0
63867.0 41681.0
59986.0 43542.0
59550.0 43542.0
63978.0 42699.0
62708.0 42465.0
65101.0 41681.0


 Execution Performance 
63727.0 41421.0

62387.0 44146.0

59850.0 43542.0

63741.0 41421.0

63867.0 41681.0

59986.0 43542.0

59550.0 43542.0

63978.0 42699.0

62708.0 42465.0

65101.0 41681.0


