Execution times in seconds 
0.004
0.01
0.003
0.001
0.001
0.002
0.001
0.001
0.008
0.003


 Best makespans 
82078.0 46133.0
81428.0 46133.0
81153.0 46133.0
85072.0 46133.0
80576.0 46133.0
83366.0 46133.0
84948.0 46133.0
82793.0 46133.0
83650.0 46151.0
80178.0 46133.0


 Execution Performance 
82078.0 46133.0

81428.0 46133.0

81153.0 46133.0

85072.0 46133.0

80576.0 46133.0

83366.0 46133.0

84948.0 46133.0

82793.0 46133.0

83650.0 46151.0

80178.0 46133.0


