Execution times in seconds 
0.001
0.001
0.001
0.001
0.001
0.001
0.001
0.001
0.001
0.001


 Best makespans 
89681.0 40354.0
87344.0 39373.0
88088.0 39781.0
88072.0 40792.0
92550.0 40807.0
91078.0 39911.0
86438.0 39831.0
89832.0 39911.0
89322.0 40677.0
90345.0 40807.0


 Execution Performance 
89681.0 40354.0

87344.0 39373.0

88088.0 39781.0

88072.0 40792.0

92550.0 40807.0

91078.0 39911.0

86438.0 39831.0

89832.0 39911.0

89322.0 40677.0

90345.0 40807.0


