Execution times in seconds 
955.02
938.383
939.397
985.587
976.332
983.936
940.851
949.699
1236.263
2122.365


 Best makespans 
68086.0 35461.0
72516.0 34499.0
76495.0 33750.0
79111.0 33438.0
81837.0 32895.0
82764.0 32800.0
84138.0 31744.0
89885.0 31154.0
95306.0 30953.0
99552.0 30117.0
103824.0 29627.0
106275.0 29543.0
106357.0 28459.0
116173.0 27451.0
124253.0 24555.0

41838.0 51565.0
44458.0 49229.0
49092.0 49104.0
49352.0 45802.0
51633.0 45297.0
52071.0 43973.0
52372.0 43306.0
53518.0 42798.0
54477.0 42490.0
55330.0 42124.0
57074.0 39857.0
58053.0 39825.0
58892.0 39447.0
61769.0 39182.0
62481.0 39086.0
62880.0 39078.0
63273.0 37575.0
65943.0 37456.0
66618.0 37223.0
66770.0 37067.0
67470.0 36793.0
67534.0 36629.0
69452.0 36606.0
69793.0 36367.0
70597.0 35290.0
72454.0 34317.0
79437.0 34278.0
81128.0 33455.0
82333.0 33365.0
82532.0 33068.0
84037.0 31891.0
85807.0 31687.0
92413.0 31451.0
93896.0 30628.0
94342.0 30321.0
98301.0 30239.0
101653.0 30144.0
117117.0 29073.0
119767.0 29070.0
125464.0 28765.0
133319.0 28434.0
134065.0 27731.0


