9	1	2	4	3	5	6	8	9	7	11
5	1	4	5	2	3	10	11	10	10	10
10	1	2	5	9	7	3	7	5	8	10
1	2	9	4	9	6	3	10	6	9	11
9	1	3	9	7	8	3	5	4	6	11
9	1	3	7	6	2	6	8	6	9	11
10	1	3	8	4	6	3	9	5	7	10
8	1	2	6	3	10	5	7	5	8	11
7	1	7	11	7	3	2	5	4	10	9
1	2	3	9	8	6	4	8	6	10	11
10	1	4	8	5	6	2	9	3	7	10
4	1	4	7	4	10	4	8	7	10	11
10	1	3	9	4	5	3	8	8	6	10
9	1	2	5	8	3	4	11	6	7	10
9	1	5	11	2	6	3	7	4	9	8
9	1	3	7	5	7	3	9	4	8	11
10	1	2	8	5	6	5	7	5	9	10
10	1	3	9	2	6	5	7	5	8	10
10	1	4	2	4	7	6	9	6	8	10
10	3	5	7	4	9	3	10	3	7	9
10	1	7	6	6	8	2	9	3	6	10
9	1	4	9	8	3	3	7	5	6	11
10	1	3	7	5	8	3	10	5	7	9
8	1	6	6	3	3	4	9	7	10	11
2	1	5	11	8	2	6	8	10	5	9
9	1	5	4	8	6	2	7	3	9	11
10	1	3	7	2	9	5	6	5	8	10
10	1	2	7	6	6	3	9	8	4	10
1	1	10	8	5	5	8	9	3	8	11
6	2	6	11	9	9	2	10	3	4	5
5	1	2	11	4	7	4	8	5	9	10
9	1	2	8	3	6	4	9	5	7	11
10	1	5	6	5	9	3	7	3	8	10
10	1	3	9	6	4	2	7	5	8	10
10	1	7	4	3	8	2	9	5	6	10
10	1	5	8	2	6	5	9	5	7	10
7	1	4	7	4	7	2	9	5	10	11
8	1	2	8	6	4	3	10	8	5	11
9	1	5	8	8	5	3	9	3	8	11
10	1	2	4	7	5	3	9	6	8	10
